广东频道,#genre#
CCTV-5+,http://183.191.210.6:8082/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://183.184.60.128:8082/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://114.254.80.64:2222/rtp/239.3.1.130:8004$1920x1080
CCTV-5+,http://221.205.60.71:8082/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://60.220.167.74:8083/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://113.206.187.193:8002/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://183.185.228.5:8084/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://223.199.145.148:2222/rtp/239.253.64.100:5140$1920x1080
CCTV-5+,http://115.210.75.231:58888/rtp/233.50.201.220:5140$1920x1080
CCTV-5+,http://171.118.121.137:8084/rtp/226.0.1.172:3096$1920x1080
CCTV-6,http://223.215.11.132:2000/rtp/238.1.78.172:7248$1920x1080
CCTV-6,http://223.240.166.252:4022/rtp/238.1.78.172:7248$1920x1080
CCTV-6,http://183.184.60.128:8082/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://60.220.167.240:8084/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://221.205.61.119:8084/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://60.220.167.74:8083/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://180.140.153.247:5432/rtp/239.81.0.233:4056$1920x1080
CCTV-6,http://222.93.165.105:4000/rtp/239.49.8.76:8000$1920x1080
CCTV-6,http://114.254.95.3:2222/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://123.122.161.137:19999/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://119.98.71.95:8888/rtp/239.69.1.124:10382$1920x1080
CCTV-6,http://27.10.133.29:8004/rtp/225.0.4.144:7980$1920x1080
CCTV-6,http://222.130.82.155:4022/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://1.203.110.192:17777/rtp/225.1.8.84:8000$1920x1080
CCTV-6,http://183.164.59.71:8888/rtp/238.1.78.172:7248$1920x1080
CCTV-7,http://221.205.60.71:8084/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://222.71.139.116:8001/rtp/239.45.3.56:5140$1920x1080
CCTV-7,http://183.185.220.49:8084/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://221.205.61.119:8084/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://27.9.91.108:8002/rtp/225.0.4.127:7980$1920x1080
CCTV-7,http://221.205.60.71:8085/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://221.205.61.119:8082/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://119.98.71.95:8888/rtp/239.69.1.103:10256$1920x1080
CCTV-7,http://114.254.80.64:2222/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://59.172.145.8:10000/rtp/239.69.1.103:10256$1920x1080
CCTV-7,http://111.162.48.28:8888/rtp/225.1.1.138:5002$1920x1080
CCTV-7,http://27.11.48.117:8008/rtp/225.0.4.127:7980$1920x1080
CCTV-7,http://218.64.60.38:8888/rtp/239.252.220.185:5140$1920x1080
CCTV-7,http://122.231.105.237:3000/rtp/233.50.201.120:5140$1920x1080
CCTV-7,http://1.203.110.192:17777/rtp/225.1.8.7:8104$1920x1080
CCTV-8,http://221.205.61.119:8084/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://60.220.167.74:8083/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://60.220.167.219:8084/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://114.254.83.238:2222/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://61.140.148.82:3333/rtp/239.77.0.172:5146$1920x1080
CCTV-8,http://222.71.139.114:8001/rtp/239.45.1.71:5140$1920x1080
CCTV-8,http://113.206.187.193:8002/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://180.140.153.247:5432/rtp/239.81.0.234:4056$1920x1080
CCTV-8,http://222.71.139.116:8001/rtp/239.45.1.71:5140$1920x1080
CCTV-8,http://27.11.48.117:8008/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://27.11.48.117:8005/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://222.71.139.118:8001/rtp/239.45.1.71:5140$1920x1080
CCTV-8,http://218.64.60.38:8888/rtp/239.252.219.253:5140$1920x1080
CCTV-8,http://27.11.48.117:8002/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://111.166.193.128:8888/rtp/225.1.1.196:5002$1920x1080
CCTV-9,http://221.205.60.71:8085/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://114.254.83.238:2222/rtp/239.3.1.62:8112$1920x1080
CCTV-9,http://60.220.167.244:8082/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://220.192.3.145:8002/rtp/225.0.4.131:7980$1920x1080
CCTV-9,http://150.255.242.41:4022/rtp/239.254.96.126:7112$1920x1080
CCTV-9,http://27.11.48.117:8008/rtp/225.0.4.131:7980$1920x1080
CCTV-9,http://115.171.80.17:8888/rtp/225.1.8.9:8112$1920x1080
CCTV-9,http://171.118.121.137:8082/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://1.203.110.192:17777/rtp/225.1.8.9:8112$1920x1080
CCTV-9,http://183.185.228.5:8084/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://218.64.60.38:8888/rtp/239.252.220.186:5140$1920x1080
CCTV-9,http://27.11.48.117:8002/rtp/225.0.4.131:7980$1920x1080
CCTV-9,http://221.205.61.119:8082/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://180.140.153.247:5432/rtp/239.81.0.117:4056$1920x1080
CCTV-9,http://180.142.178.242:8138/rtp/239.81.0.117:4056$1920x1080
CCTV-10,http://222.71.139.114:8001/rtp/239.45.3.8:5140$1920x1080
CCTV-10,http://183.164.59.71:8888/rtp/238.1.78.241:7800$1920x1080
CCTV-10,http://60.168.226.118:2000/rtp/238.1.78.241:7800$1920x1080
CCTV-10,http://27.9.91.108:8002/rtp/225.0.4.130:7980$1920x1080
CCTV-10,http://114.254.80.64:2222/rtp/239.3.1.63:8116$1920x1080
CCTV-10,http://218.64.60.38:8888/rtp/239.252.220.91:5140$1920x1080
CCTV-10,http://180.140.153.247:5432/rtp/239.81.0.118:4056$1920x1080
CCTV-10,http://221.205.61.119:8082/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://183.185.220.49:8084/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://183.185.228.5:8084/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://1.203.110.192:17777/rtp/225.1.8.10:8116$1920x1080
CCTV-10,http://180.142.178.242:8138/rtp/239.81.0.118:4056$1920x1080
CCTV-10,http://115.171.80.17:8888/rtp/225.1.8.10:8116$1920x1080
CCTV-10,http://27.11.48.117:8002/rtp/225.0.4.130:7980$1920x1080
CCTV-10,http://113.206.187.193:8002/rtp/225.0.4.130:7980$1920x1080
CCTV-11,http://222.130.82.155:4022/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://1.203.110.192:17777/rtp/225.1.8.73:8120$1920x1080
CCTV-11,http://180.140.153.247:5432/rtp/239.81.0.229:4056$1920x1080
CCTV-11,http://114.254.95.3:2222/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://27.11.48.117:8008/rtp/225.0.4.218:7980$1920x1080
CCTV-11,http://27.11.48.117:8002/rtp/225.0.4.218:7980$1920x1080
CCTV-11,http://180.142.178.242:8138/rtp/239.81.0.229:4056$1920x1080
CCTV-11,http://115.171.80.17:8888/rtp/225.1.8.73:8120$1920x1080
CCTV-11,http://222.129.36.60:9001/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://113.206.187.193:8002/rtp/225.0.4.218:7980$1920x1080
CCTV-11,http://114.254.80.64:2222/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://27.11.48.117:8005/rtp/225.0.4.218:7980$1920x1080
CCTV-11,http://110.157.221.155:8088/rtp/238.125.3.212:5140$1920x1080
CCTV-11,http://118.112.148.228:4022/rtp/239.93.0.102:5140$1920x1080
CCTV-11,http://27.10.133.29:8002/rtp/225.0.4.218:7980$1920x1080
CCTV-12,http://114.243.99.87:4000/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://119.98.71.95:8888/rtp/239.69.1.106:10274$1920x1080
CCTV-12,http://114.254.80.64:2222/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://180.140.153.247:5432/rtp/239.81.0.119:4056$1920x1080
CCTV-12,http://221.205.61.119:8082/rtp/226.0.1.168:3100$1920x1080
CCTV-12,http://117.32.84.215:8020/rtp/239.112.205.88:5140$1920x1080
